step,x,y,theta,h0,h1,h2,h3,V0,V1,V2,V3,dVdx0,dVdy0,dVdt0,dVdx1,dVdy1,dVdt1,dVdx2,dVdy2,dVdt2,dVdx3,dVdy3,dVdt3
24,-0.841581,1.787044,2.644580,-1.838874,-17.620729,-8.987052,-10.472551,-1.425427,-15.725897,-8.987052,-6.670511,-1.186435,-2.187254,1.599981,-4.558817,-6.527693,7.911565,-2.316839,-5.574089,0.000000,-4.558817,-2.527693,4.395522
25,-0.926313,1.836631,2.700847,-1.730256,-17.371529,-9.076780,-10.025005,-1.353062,-15.231927,-9.076780,-6.178948,-1.036438,-2.197282,1.492077,-4.338507,-6.526490,7.753645,-2.147375,-5.673262,0.000000,-4.338507,-2.526490,4.135910
26,-1.023164,1.879758,2.744697,-1.605683,-17.032060,-9.124717,-9.513026,-1.291158,-14.767575,-9.124717,-5.702313,-0.919212,-2.193099,1.333613,-4.109140,-6.532631,7.613237,-1.953672,-5.759517,0.000000,-4.109140,-2.532631,3.924175
27,-1.114205,1.922298,2.806972,-1.512767,-16.745141,-9.201961,-9.055948,-1.227855,-14.213099,-9.201961,-5.210263,-0.763257,-2.195190,1.240537,-3.882520,-6.501418,7.415878,-1.771590,-5.844597,0.000000,-3.882520,-2.501418,3.637737
28,-1.213020,1.955343,2.835072,-1.409517,-16.378808,-9.230887,-8.557438,-1.196046,-13.848167,-9.230887,-4.819822,-0.692972,-2.189514,1.061079,-3.667182,-6.514172,7.317090,-1.573960,-5.910685,0.000000,-3.667182,-2.514172,3.503534
29,-1.295278,1.978689,2.899821,-1.331965,-16.065609,-9.246721,-8.150854,-1.129551,-13.239830,-9.246721,-4.367382,-0.535805,-2.172813,1.006843,-3.467613,-6.436224,7.079255,-1.409444,-5.957378,0.000000,-3.467613,-2.436224,3.195593
30,-1.379963,1.993040,2.931635,-1.248073,-15.700377,-9.220231,-7.728219,-1.088510,-12.822987,-9.220231,-4.017155,-0.458713,-2.152586,0.879162,-3.283994,-6.402916,6.946751,-1.240073,-5.986079,0.000000,-3.283994,-2.402916,3.034592
31,-1.448829,2.003188,2.969024,-1.187675,-15.405108,-9.200425,-7.392357,-1.050239,-12.409926,-9.199879,-3.710322,-0.371907,-2.133692,0.802935,-3.132047,-6.349802,6.793302,-1.039586,-6.017314,0.194496,-3.132047,-2.349802,2.852714
32,-1.519599,2.003906,2.992828,-1.116113,-15.053341,-9.131737,-7.037717,-1.009641,-12.037788,-9.131019,-3.429298,-0.315409,-2.104538,0.694382,-2.982892,-6.304245,6.676728,-0.891797,-6.018154,0.212253,-2.982892,-2.304245,2.720908
33,-1.576736,2.006138,3.030962,-1.068966,-14.786572,-9.093517,-6.762021,-0.973117,-11.633458,-9.085603,-3.167287,-0.231130,-2.080637,0.648109,-2.858754,-6.233086,6.510601,-0.672831,-6.031571,0.530323,-2.858754,-2.233086,2.535054
34,-1.634771,1.999993,3.057382,-1.010878,-14.471764,-9.010850,-6.471792,-0.932576,-11.262737,-8.998410,-2.926319,-0.172804,-2.047058,0.574841,-2.737544,-6.168209,6.376609,-0.508731,-6.018702,0.672013,-2.737544,-2.168209,2.390784
35,-1.681886,1.996444,3.082516,-0.971598,-14.229832,-8.957375,-6.244055,-0.904658,-10.955523,-8.937601,-2.733578,-0.119658,-2.023441,0.524453,-2.639718,-6.110972,6.256166,-0.354679,-6.009541,0.848943,-2.639718,-2.110972,2.263144
36,-1.732120,1.983886,3.099531,-0.917291,-13.924353,-8.852834,-5.988811,-0.866093,-10.643547,-8.832626,-2.539806,-0.083586,-1.986802,0.449985,-2.537529,-6.051871,6.153220,-0.250927,-5.979759,0.853120,-2.537529,-2.051871,2.156758
37,-1.773409,1.976577,3.125531,-0.882546,-13.695220,-8.788854,-5.788912,-0.838078,-10.338226,-8.756897,-2.367673,-0.031535,-1.959927,0.413306,-2.453441,-5.985276,6.023909,-0.095866,-5.958894,1.064881,-2.453441,-1.985276,2.024425
38,-1.817091,1.961824,-3.140491,-0.836061,-13.414992,-8.683356,-5.567697,-0.802213,-10.042649,-8.648693,-2.199762,0.001931,-1.923242,0.353636,-2.365819,-5.921444,5.918833,0.006329,-5.923238,1.102160,-2.365819,-1.921444,1.918836
39,-1.851793,1.951997,-3.117580,-0.805763,-13.206575,-8.613749,-5.398589,-0.776509,-9.769641,-8.565770,-2.057698,0.045495,-1.895781,0.324278,-2.296990,-5.855972,5.799131,0.141547,-5.893474,1.291298,-2.296990,-1.855972,1.800284
40,-1.890294,1.934474,-3.104015,-0.762776,-12.939495,-8.500671,-5.201601,-0.741831,-9.502574,-8.452328,-1.914954,0.070554,-1.858046,0.269770,-2.220824,-5.793810,5.706287,0.220026,-5.852426,1.287708,-2.220824,-1.793810,1.709111
41,-1.921239,1.922463,-3.083842,-0.734640,-12.739536,-8.424491,-5.049685,-0.717263,-9.251583,-8.363328,-1.792607,0.106447,-1.829664,0.242300,-2.160857,-5.729488,5.595214,0.336321,-5.816373,1.440989,-2.160857,-1.729488,1.601882
42,-1.955793,1.903684,-3.070571,-0.696098,-12.487659,-8.310833,-4.872925,-0.684399,-8.997453,-8.248260,-1.666565,0.126411,-1.792084,0.193458,-2.093455,-5.665444,5.502607,0.410655,-5.771863,1.447566,-2.093455,-1.665444,1.512691
43,-1.982977,1.890557,-3.051175,-0.670881,-12.301200,-8.233109,-4.738972,-0.661394,-8.761628,-8.155850,-1.560580,0.157372,-1.763759,0.170173,-2.042215,-5.600524,5.393245,0.519585,-5.730919,1.599446,-2.042215,-1.600524,1.409584
44,-2.013413,1.871761,-3.036001,-0.637647,-12.071040,-8.124692,-4.583996,-0.631422,-8.514651,-8.040977,-1.449191,0.181165,-1.727164,0.134767,-1.984314,-5.532730,5.292776,0.602256,-5.682534,1.653318,-1.984314,-1.532730,1.315054
45,-2.037178,1.857713,-3.018014,-0.614554,-11.896693,-8.045406,-4.465841,-0.609750,-8.296480,-7.945955,-1.358684,0.211014,-1.698452,0.117844,-1.940896,-5.468898,5.187949,0.700263,-5.637681,1.791551,-1.940896,-1.468898,1.218453
46,-2.064043,1.838984,-3.001099,-0.585496,-11.685260,-7.941432,-4.329324,-0.582538,-8.056399,-7.829784,-1.260591,0.239717,-1.662180,0.094668,-1.891620,-5.397904,5.079831,0.789778,-5.584388,1.884527,-1.891620,-1.397904,1.119243
47,-2.085114,1.825147,-2.985970,-0.565612,-11.525744,-7.866199,-4.225157,-0.563726,-7.866487,-7.741026,-1.185879,0.265328,-1.635373,0.079742,-1.853942,-5.340304,4.988416,0.869275,-5.540619,1.984246,-1.853942,-1.340304,1.036755
48,-2.109078,1.806740,-2.969296,-0.540227,-11.330874,-7.767187,-4.103915,-0.539440,-7.642622,-7.627506,-1.101443,0.289052,-1.601142,0.058540,-1.811456,-5.270589,4.881986,0.954566,-5.485328,2.080889,-1.811456,-1.270589,0.941211
49,-2.127935,1.793501,-2.953576,-0.523511,-11.185774,-7.697513,-4.011771,-0.523233,-7.463356,-7.540336,-1.036996,0.305834,-1.577495,0.040863,-1.779377,-5.213180,4.788722,1.034806,-5.438798,2.194920,-1.779377,-1.213180,0.859215
50,-2.148451,1.776850,-2.932678,-0.503033,-11.016628,-7.610432,-3.909229,-0.503012,-7.242219,-7.424937,-0.964414,0.317901,-1.549247,0.016974,-1.746585,-5.138902,4.664925,1.139556,-5.375050,2.366444,-1.746585,-1.138902,0.751899
51,-2.164153,1.765759,-2.909902,-0.490832,-10.897253,-7.553867,-3.834219,-0.490808,-7.053504,-7.327942,-0.908963,0.350412,-1.526302,0.017783,-1.725134,-5.072270,4.540606,1.253536,-5.313230,2.594795,-1.725134,-1.072270,0.647488
52,-2.179292,1.752609,-2.877735,-0.476065,-10.769333,-7.486499,-3.758898,-0.475758,-6.818145,-7.189680,-0.850937,0.409347,-1.491503,0.040664,-1.710634,-4.983604,4.364982,1.410496,-5.221036,2.946455,-1.710634,-0.983604,0.503418
53,-2.192671,1.744006,-2.848397,-0.468168,-10.673508,-7.444193,-3.697483,-0.467400,-6.626998,-7.073794,-0.807025,0.453664,-1.467387,0.054805,-1.700007,-4.909987,4.209129,1.550609,-5.136223,3.265278,-1.700007,-0.909987,0.379829
54,-2.205006,1.733249,-2.803562,-0.457181,-10.570151,-7.390176,-3.637156,-0.454695,-6.370468,-6.881775,-0.763993,0.509797,-1.431421,0.080358,-1.703168,-4.803237,3.966598,1.755370,-4.993573,3.774149,-1.703168,-0.803237,0.192960
55,-2.222178,1.727442,-2.742873,-0.456035,-10.477093,-7.365805,-3.567324,-0.449945,-6.082558,-6.636235,-0.725746,0.585904,-1.395252,0.116217,-1.712527,-4.678406,3.646556,2.018032,-4.791918,4.439408,-1.712527,-0.678406,-0.039679
56,-2.237286,1.722514,-2.654973,-0.455830,-10.396742,-7.345885,-3.506688,-0.439427,-5.734235,-6.219052,-0.714742,0.701568,-1.324933,0.192505,-1.757591,-4.509746,3.164329,2.242409,-4.509746,5.034891,-1.757591,-0.509746,-0.371346
57,-2.277272,1.714898,-2.529810,-0.465458,-10.215963,-7.325049,-3.356372,-0.431745,-5.276941,-5.660529,-0.714662,0.854997,-1.219004,0.273240,-1.808206,-4.281140,2.466147,2.191794,-4.281140,4.763458,-1.808206,-0.281140,-0.808355
58,-2.316027,1.702525,-2.468058,-0.470915,-10.016906,-7.281015,-3.206806,-0.434360,-5.013033,-5.403630,-0.697942,0.930770,-1.166668,0.285190,-1.804701,-4.157545,2.123942,2.195299,-4.157545,4.618952,-1.804701,-0.157545,-1.002546
59,-2.380691,1.675938,-2.388840,-0.479317,-9.660304,-7.183067,-2.956553,-0.445358,-4.637917,-5.079919,-0.668769,1.030212,-1.100048,0.277581,-1.778999,-3.984574,1.691767,2.221001,-3.984574,4.426369,-1.778999,0.015426,-1.227471
60,-2.444073,1.630172,-2.351337,-0.471818,-9.216215,-6.992507,-2.695526,-0.453527,-4.288867,-4.879813,-0.610311,1.079045,-1.067582,0.205900,-1.704527,-3.839278,1.490437,2.295473,-3.839278,4.332570,-1.704527,0.160722,-1.324217
61,-2.510312,1.580983,-2.328425,-0.475460,-8.758143,-6.799393,-2.434211,-0.470300,-3.960713,-4.750764,-0.542652,1.118351,-1.058656,0.109498,-1.604974,-3.709031,1.382885,2.395026,-3.709031,4.288757,-1.604974,0.290969,-1.365917
62,-2.569229,1.515488,-2.323393,-0.467250,-8.252284,-6.529201,-2.190333,-0.467250,-3.624125,-4.635188,-0.481839,1.138458,-1.030976,0.000000,-1.494469,-3.571143,1.350170,2.505531,-3.571143,4.269835,-1.494469,0.428857,-1.383976
63,-2.621560,1.455906,-2.309484,-0.471687,-7.809071,-6.295311,-1.985448,-0.471687,-3.321252,-4.500764,-0.455039,1.243120,-0.911812,0.000000,-1.410244,-3.433106,1.268906,2.589756,-3.433106,4.226317,-1.410244,0.566894,-1.424367
64,-2.666754,1.379449,-2.327636,-0.466043,-7.316823,-5.983840,-1.799026,-0.466043,-3.026173,-4.439700,-0.416413,1.333509,-0.758899,0.000000,-1.293236,-3.304880,1.329026,2.706764,-3.304880,4.237064,-1.293236,0.695120,-1.417484
65,-2.702640,1.311002,-2.341726,-0.467925,-6.901376,-5.711935,-1.657366,-0.467925,-2.778175,-4.375944,-0.403217,1.405279,-0.622005,0.000000,-1.201115,-3.187479,1.359528,2.798885,-3.187479,4.228580,-1.201115,0.812521,-1.427682
66,-2.734393,1.219466,-2.402065,-0.464999,-6.405291,-5.342865,-1.527425,-0.464999,-2.543694,-4.434238,-0.361584,1.468787,-0.438933,0.000000,-1.053639,-3.091055,1.573543,2.871732,-3.159133,4.053667,-1.053639,0.908945,-1.381605
67,-2.748557,1.135783,-2.421888,-0.456274,-6.005180,-4.999407,-1.462048,-0.456274,-2.307351,-4.285525,-0.400869,1.497113,-0.271566,0.000000,-0.998886,-2.953241,1.562410,2.767589,-3.157936,3.547076,-0.998886,1.046759,-1.445592
68,-2.771210,1.029089,-2.475222,-0.473111,-5.504626,-4.589465,-1.388271,-0.473111,-2.064284,-4.169522,-0.420454,1.542420,-0.058177,0.000000,-0.885440,-2.821902,1.670889,2.561213,-3.257035,2.685070,-0.903484,1.163908,-1.456480
