step,x,y,theta,h0,h1,h2,h3,V0,V1,V2,V3,dVdx0,dVdy0,dVdt0,dVdx1,dVdy1,dVdt1,dVdx2,dVdy2,dVdt2,dVdx3,dVdy3,dVdt3
24,-1.224402,1.477564,2.937765,-0.707119,-13.719767,-6.617374,-7.809512,-0.267717,-10.286499,-6.550791,-3.566568,-0.252896,-1.223484,0.828158,-3.592598,-5.359966,5.976220,-1.045789,-5.059594,1.333204,-3.592598,-1.359966,2.059024
25,-1.315003,1.504853,2.994141,-0.601597,-13.360997,-6.621008,-7.341587,-0.237516,-9.785292,-6.525183,-3.178208,-0.176305,-1.187004,0.724087,-3.391697,-5.303542,5.744294,-0.757606,-5.100663,1.596248,-3.391697,-1.303542,1.787699
26,-1.409241,1.523229,3.034448,-0.500265,-12.956216,-6.593179,-6.863302,-0.217860,-9.344077,-6.492348,-2.823404,-0.124778,-1.160116,0.620062,-3.192987,-5.260336,5.571628,-0.550084,-5.114372,1.633376,-3.192987,-1.260336,1.594565
27,-1.501486,1.546412,3.092085,-0.424582,-12.604285,-6.610230,-6.418637,-0.202871,-8.865410,-6.471929,-2.481813,-0.056457,-1.139427,0.537172,-2.999478,-5.191799,5.333874,-0.254164,-5.129631,1.909986,-2.999478,-1.191799,1.338775
28,-1.596860,1.559534,3.135249,-0.353100,-12.203798,-6.591237,-5.965662,-0.193434,-8.430085,-6.441548,-2.166576,-0.007132,-1.124137,0.449195,-2.806321,-5.131755,5.149453,-0.032504,-5.123976,1.982485,-2.806321,-1.131755,1.149533
29,-1.691691,1.576703,-3.088585,-0.305141,-11.845189,-6.611954,-5.538376,-0.190605,-7.962014,-6.414466,-1.867132,0.059298,-1.117544,0.378746,-2.619427,-5.047441,4.901567,0.270928,-5.106316,2.272423,-2.619427,-1.047441,0.907185
30,-1.790123,1.581854,-3.039826,-0.260103,-11.427028,-6.587520,-5.099611,-0.188331,-7.505553,-6.365598,-1.584501,0.113280,-1.109275,0.298724,-2.430102,-4.960526,4.687984,0.517541,-5.067992,2.399872,-2.430102,-0.960526,0.708679
31,-1.886939,1.589515,-2.976876,-0.237810,-11.048112,-6.595868,-4.690054,-0.194466,-7.029972,-6.308422,-1.327805,0.184560,-1.110765,0.234385,-2.253192,-4.851084,4.415962,0.831645,-5.003204,2.719223,-2.253192,-0.851084,0.470103
32,-1.985929,1.583952,-2.926690,-0.218698,-10.610790,-6.554506,-4.274982,-0.199586,-6.573240,-6.235529,-1.090440,0.242789,-1.108767,0.157379,-2.074148,-4.741400,4.190018,1.075436,-4.927023,2.848202,-2.074148,-0.741400,0.282029
33,-2.067319,1.576539,-2.848431,-0.214430,-10.251313,-6.520588,-3.945155,-0.203996,-6.061729,-6.058022,-0.911491,0.328423,-1.094583,0.115663,-1.950693,-4.575119,3.816211,1.436846,-4.759996,3.381655,-1.950693,-0.575119,-0.013130
34,-2.150662,1.554812,-2.784648,-0.208015,-9.824612,-6.427261,-3.605366,-0.205211,-5.573701,-5.862482,-0.752106,0.404855,-1.071015,0.063257,-1.824738,-4.410798,3.495194,1.709581,-4.584458,3.676953,-1.824738,-0.410798,-0.252682
35,-2.227310,1.533674,-2.713266,-0.213978,-9.439437,-6.348676,-3.304739,-0.213975,-5.109620,-5.633661,-0.636318,0.465486,-1.062387,0.006927,-1.726056,-4.236651,3.137005,1.992658,-4.365085,4.056521,-1.726056,-0.236651,-0.501644
36,-2.305078,1.495517,-2.667277,-0.216110,-8.977866,-6.198177,-2.995799,-0.216110,-4.682688,-5.444109,-0.527540,0.610155,-0.991034,0.000000,-1.610634,-4.077574,2.891808,2.154599,-4.198105,4.096091,-1.610634,-0.077574,-0.666614
37,-2.391901,1.458660,-2.612996,-0.241455,-8.508490,-6.076093,-2.673852,-0.241455,-4.251339,-5.263305,-0.433990,0.783802,-0.917319,0.000000,-1.489168,-3.908674,2.624180,2.342884,-4.006762,4.190101,-1.489168,0.091326,-0.829882
38,-2.480858,1.396909,-2.606194,-0.266261,-7.930463,-5.853896,-2.342828,-0.266261,-3.871611,-5.198935,-0.324713,0.961717,-0.793817,0.000000,-1.318153,-3.773449,2.572911,2.353985,-3.967934,3.734272,-1.318153,0.226551,-0.867350
39,-2.562517,1.340135,-2.536300,-0.309617,-7.420089,-5.670157,-2.059549,-0.309617,-3.392815,-4.915069,-0.308287,1.125034,-0.680270,0.000000,-1.230295,-3.542264,2.212888,2.553671,-3.691746,3.899265,-1.230295,0.457736,-1.076454
40,-2.660275,1.242171,-2.537997,-0.372110,-6.699694,-5.340794,-1.731010,-0.372110,-2.948361,-4.809255,-0.250103,1.320550,-0.484342,0.000000,-1.032850,-3.349129,2.171085,2.521033,-3.656694,3.238164,-1.032850,0.650871,-1.122115
41,-2.744882,1.122247,-2.486528,-0.447293,-5.956754,-4.936281,-1.467766,-0.447293,-2.380325,-4.443200,-0.328179,1.489763,-0.244494,0.000000,-0.924219,-3.026073,1.836658,2.603470,-3.388915,3.000867,-0.924219,0.973927,-1.335376
42,-2.824958,1.000134,-2.439975,-0.558055,-5.258760,-4.558591,-1.258224,-0.558055,-1.881779,-4.121813,-0.452573,1.649915,-0.000268,0.000000,-0.822486,-2.709360,1.538530,2.659490,-3.147119,2.723097,-0.977515,1.159631,-1.362747
43,-2.882789,0.891751,-2.384459,-0.668535,-4.704380,-4.235538,-1.137377,-0.668535,-1.481722,-3.802952,-0.593253,1.765579,0.216499,0.000000,-0.780805,-2.409820,1.215188,2.721638,-2.880016,2.606213,-1.162173,1.229784,-1.248123
44,-2.935662,0.771737,-2.370369,-0.805068,-4.149366,-3.892015,-1.062419,-0.805068,-1.153134,-3.573920,-0.697494,1.871325,0.456527,0.000000,-0.694559,-2.149447,1.057163,2.680165,-2.757244,2.168697,-1.262339,1.298644,-1.094050
45,-2.961115,0.667064,-2.339871,-0.912088,-3.735884,-3.580342,-1.067629,-0.912088,-0.895103,-3.300026,-0.834069,1.922229,0.665873,0.000000,-0.686830,-1.897018,0.825796,2.658662,-2.573251,1.958969,-1.405555,1.360401,-0.945340
46,-2.985590,0.556146,-2.333169,-1.045894,-3.328118,-3.270478,-1.103534,-1.045894,-0.676128,-3.072706,-0.959440,1.971180,0.887708,0.000000,-0.647541,-1.665894,0.682231,2.585457,-2.469055,1.589872,-1.504491,1.436756,-0.789685
47,-2.988954,0.464881,-2.317647,-1.141882,-3.045591,-3.001405,-1.186067,-1.141882,-0.521967,-2.838875,-1.099544,1.977907,1.070238,0.000000,-0.663431,-1.462097,0.506401,2.525651,-2.338073,1.387532,-1.622455,1.501938,-0.650321
48,-2.996035,0.367669,-2.335727,-1.269428,-2.755964,-2.740104,-1.285288,-1.269428,-0.392143,-2.651933,-1.228144,1.992070,1.264662,0.000000,-0.622956,-1.292477,0.445605,2.403311,-2.306909,0.989171,-1.676814,1.609617,-0.555698
49,-2.981880,0.292168,-2.332287,-1.342615,-2.583765,-2.511287,-1.415094,-1.342615,-0.308194,-2.444835,-1.378928,1.963761,1.415664,0.000000,-0.656237,-1.136720,0.309349,2.319516,-2.211151,0.826118,-1.773945,1.690810,-0.465791
50,-2.976688,0.210925,-2.355800,-1.454058,-2.391007,-2.297759,-1.547307,-1.454058,-0.231214,-2.270118,-1.520036,1.953376,1.578150,0.000000,-0.632969,-1.007079,0.264078,2.188425,-2.186616,0.514377,-1.813135,1.811824,-0.423362
51,-2.953052,0.150529,-2.343471,-1.507410,-2.297316,-2.109526,-1.695200,-1.507410,-0.188003,-2.084384,-1.680196,1.906105,1.698942,0.000000,-0.697789,-0.868965,0.106934,2.127639,-2.073814,0.471457,-1.922609,1.874643,-0.329452
52,-2.942893,0.092374,-2.331254,-1.590333,-2.188255,-1.959828,-1.818760,-1.590333,-0.148132,-1.939795,-1.813651,1.885786,1.815252,0.000000,-0.735708,-0.735706,-0.025948,2.081437,-1.979086,0.407640,-2.016635,1.917824,-0.196994
